Time;ETH / Realized Market Cap (USD)
2017-04-06;2216562814.3657064
2017-04-07;2216531870.7177486
2017-04-08;2229279151.7699738
2017-04-09;2233348148.7731056
2017-04-10;2239264820.4121842
2017-04-11;2249848895.973714
2017-04-12;2267889162.8744926
2017-04-13;2291774458.166772
2017-04-14;2294653528.3044195
2017-04-15;2303973236.141402
2017-04-16;2306335209.8681316
2017-04-17;2308167899.478055
2017-04-18;2319268036.481981
2017-04-19;2328896736.685586
2017-04-20;2368990854.300268
2017-04-21;2369905973.4272656
2017-04-22;2373333652.2522407
2017-04-23;2378975920.95831
2017-04-24;2415586494.8309927
2017-04-25;2425327708.484188
2017-04-26;2466004205.691652
2017-04-27;2513005243.0898814
2017-04-28;2617845550.0923624
2017-04-29;2667469052.740468
2017-04-30;2867853599.1616774
2017-05-01;3034258693.311729
2017-05-02;3119500702.7673497
2017-05-03;3171962111.077532
2017-05-04;3345162627.5774493
2017-05-05;3538731567.2340817
2017-05-06;3614269923.9287367
2017-05-07;3600873081.0704546
2017-05-08;3663449495.2839894
2017-05-09;3880572343.2689424
2017-05-10;3903556312.031254
2017-05-11;3925405445.7957892
2017-05-12;3948266503.4059744
2017-05-13;3966376685.8409543
2017-05-14;3989555123.4479895
2017-05-15;4040125650.3865523
2017-05-16;4063528676.0392237
2017-05-17;4102742706.504036
2017-05-18;4174959741.374582
2017-05-19;4402814925.89551
2017-05-20;4496147520.621005
2017-05-21;5093732190.029237
2017-05-22;5357718768.187046
2017-05-23;5585276157.392991
2017-05-24;5920556120.739493
2017-05-25;6091357233.5058565
2017-05-26;6181229590.306999
2017-05-27;6508540801.379289
2017-05-28;6634764130.348028
2017-05-29;6884280830.439647
2017-05-30;7355313440.483984
2017-05-31;7808166439.849525
2017-06-01;7884729660.753722
2017-06-02;7975863450.472754
2017-06-03;8308434573.8867855
2017-06-04;8501993692.391074
2017-06-05;8763228535.084747
2017-06-06;8979444656.229008
2017-06-07;9138666677.305872
2017-06-08;9265227730.60556
2017-06-09;9509075120.454916
2017-06-10;10137985180.47074
2017-06-11;10438751720.455755
2017-06-12;12491680819.634943
2017-06-13;13054662349.477386
2017-06-14;13146794282.623713
2017-06-15;13292766335.78439
2017-06-16;13433997066.274164
2017-06-17;13799919545.893782
2017-06-18;13881868235.918018
2017-06-19;14059595961.089529
2017-06-20;14294010373.801601
2017-06-21;14269960572.322792
2017-06-22;14714979440.026361
2017-06-23;14813021644.52915
2017-06-24;14823625618.118423
2017-06-25;14676314037.06089
2017-06-26;14359659501.924358
2017-06-27;14425408766.088907
